CountryName,CountryCode,IndicatorCode,Value,Value Description,Year
Argentina,AR,AG.LND.AGRI.ZS,54.3357121193851,Agricultural land (% of land area),2016-01-01
Argentina,AR,AG.LND.AGRI.ZS,54.3357121193851,Agricultural land (% of land area),2015-01-01
Argentina,AR,AG.LND.AGRI.ZS,54.3357121193851,Agricultural land (% of land area),2014-01-01
Argentina,AR,AG.LND.AGRI.ZS,54.5180491761946,Agricultural land (% of land area),2013-01-01
Argentina,AR,AG.LND.AGRI.ZS,54.53814644698521,Agricultural land (% of land area),2012-01-01
Argentina,AR,AG.LND.AGRI.ZS,54.18260745645289,Agricultural land (% of land area),2011-01-01
Argentina,AR,AG.LND.AGRI.ZS,53.8902835176801,Agricultural land (% of land area),2010-01-01
Argentina,AR,AG.LND.AGRI.ZS,52.54230475501429,Agricultural land (% of land area),2009-01-01
Argentina,AR,AG.LND.AGRI.ZS,52.713679664119795,Agricultural land (% of land area),2008-01-01
Argentina,AR,AG.LND.AGRI.ZS,52.6303673415696,Agricultural land (% of land area),2007-01-01
Argentina,AR,AG.LND.AGRI.ZS,51.5600963207378,Agricultural land (% of land area),2006-01-01
Argentina,AR,AG.LND.AGRI.ZS,50.351884941297705,Agricultural land (% of land area),2005-01-01
Argentina,AR,AG.LND.AGRI.ZS,49.0903244430315,Agricultural land (% of land area),2004-01-01
Argentina,AR,AG.LND.AGRI.ZS,47.82547530045421,Agricultural land (% of land area),2003-01-01
Argentina,AR,AG.LND.AGRI.ZS,47.031267699301004,Agricultural land (% of land area),2002-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.9932655872605,Agricultural land (% of land area),2001-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.9581867146078,Agricultural land (% of land area),2000-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.922377032108095,Agricultural land (% of land area),1999-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.892413828383894,Agricultural land (% of land area),1998-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.857700360654704,Agricultural land (% of land area),1997-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.82371770277229,Agricultural land (% of land area),1996-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.7882734251961,Agricultural land (% of land area),1995-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.7528291476199,Agricultural land (% of land area),1994-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.717019465120295,Agricultural land (% of land area),1993-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.682305997391005,Agricultural land (% of land area),1992-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.6475925296617,Agricultural land (% of land area),1991-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.612879061932496,Agricultural land (% of land area),1990-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.578165594203206,Agricultural land (% of land area),1989-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.5452791510913,Agricultural land (% of land area),1988-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.74954050330871,Agricultural land (% of land area),1987-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.868662508358604,Agricultural land (% of land area),1986-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.91470352871529,Agricultural land (% of land area),1985-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.9607445490721,Agricultural land (% of land area),1984-01-01
Argentina,AR,AG.LND.AGRI.ZS,47.00715097435221,Agricultural land (% of land area),1983-01-01
Argentina,AR,AG.LND.AGRI.ZS,47.0528265897855,Agricultural land (% of land area),1982-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.7330972817528,Agricultural land (% of land area),1981-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.7791383021095,Agricultural land (% of land area),1980-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.825179322466205,Agricultural land (% of land area),1979-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.871220342822895,Agricultural land (% of land area),1978-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.9172613631796,Agricultural land (% of land area),1977-01-01
Argentina,AR,AG.LND.AGRI.ZS,46.9633023835363,Agricultural land (% of land area),1976-01-01
Argentina,AR,AG.LND.AGRI.ZS,47.009343403893006,Agricultural land (% of land area),1975-01-01
Argentina,AR,AG.LND.AGRI.ZS,47.05538442424971,Agricultural land (% of land area),1974-01-01
Argentina,AR,AG.LND.AGRI.ZS,47.1014254446064,Agricultural land (% of land area),1973-01-01
Argentina,AR,AG.LND.AGRI.ZS,47.14746646496321,Agricultural land (% of land area),1972-01-01
Argentina,AR,AG.LND.AGRI.ZS,47.1935074853199,Agricultural land (% of land area),1971-01-01
Argentina,AR,AG.LND.AGRI.ZS,47.2395485056766,Agricultural land (% of land area),1970-01-01
